customer_id,email,first_name,last_name,phone,registration_date,customer_segment,segment_start_date,segment_end_date,is_current,created_at,updated_at
72,brittany58@example.org,Lance,Hayes,9542119986,2025-12-28,bronze,2025-12-28,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
223,laurahoover@example.org,Cindy,Dixon,(457)399-1366,2026-05-22,silver,2026-05-22,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
246,zacharymarsh@example.net,Lindsey,Cohen,684-963-1224x1797,2024-11-19,silver,2024-11-19,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
249,gonzalezjill@example.org,Adriana,Hendrix,764.252.0881x4743,2025-03-22,bronze,2025-03-22,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
279,sarah14@example.com,Miguel,Gray,768-814-7214,2026-03-24,gold,2026-03-24,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
283,zhendricks@example.org,Debbie,Olson,+1-278-557-6084x9588,2026-05-25,silver,2026-05-25,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
314,bstrickland@example.com,Christopher,Smith,994-867-2324,2026-04-24,silver,2026-04-24,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
334,mary47@example.net,Jodi,Walker,9245471462,2026-05-17,silver,2026-05-17,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
357,edwardskenneth@example.org,Rachel,Russell,(616)923-1981x898,2026-06-13,silver,2026-06-13,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
363,jorgemcdaniel@example.com,Lauren,Gonzalez,(552)666-9300x89317,2025-09-07,gold,2025-09-07,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
427,emendoza@example.com,Stephanie,Glenn,(534)967-2994,2026-09-16,gold,2026-09-17,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
431,ewashington@example.org,Amy,Allen,827.442.2091x241,2025-05-20,bronze,2025-05-20,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
434,hmcmillan@example.org,Jason,Kelly,(306)650-6373,2026-08-06,bronze,2026-08-06,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
441,wdickerson@example.com,Brooke,Hernandez,001-724-467-4746x897,2026-04-02,bronze,2026-04-02,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
453,monica99@example.org,Dawn,Bennett,001-768-563-3414x111,2026-04-27,platinum,2026-04-27,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
464,donna72@example.net,Tracy,Edwards,(598)483-1030x324,2025-04-30,silver,2025-04-30,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
488,james62@example.com,Jesse,Barber,(427)617-2722x397,2025-03-03,gold,2025-03-03,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
523,chamilton@example.com,Caitlyn,Nelson,691-896-6395x51720,2026-04-26,silver,2026-04-26,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
531,jennifer58@example.org,Donna,Moss,811.570.3037,2025-04-03,silver,2025-04-03,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
544,johnbutler@example.org,Kevin,Miller,001-978-726-6128,2026-05-04,bronze,2026-05-23,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
580,anthonyorr@example.net,Amanda,Lee,305.934.9678x2741,2025-10-31,bronze,2026-04-15,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
615,bishopkaren@example.org,Debbie,Taylor,803.446.1562,2025-09-24,silver,2025-09-24,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
619,johnny54@example.org,Amy,White,(860)575-4091x508,2025-08-25,silver,2025-09-13,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
628,chelseagordon@example.org,Carol,Dennis,2598329715,2025-12-19,silver,2025-12-19,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
664,annaschmidt@example.org,Lauren,Cox,482.852.1293,2025-02-15,silver,2026-04-27,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
672,michael55@example.org,Joshua,Bowers,774-523-8856x52715,2026-06-05,silver,2026-06-05,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
691,simsrandall@example.net,Katie,Anderson,001-631-811-2712x852,2026-05-13,bronze,2026-07-17,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
739,lreid@example.org,Erin,Rowland,955.204.7681x6995,2025-05-03,silver,2025-05-03,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
763,amandamaxwell@example.net,Kathleen,Cummings,(282)230-5248,2026-05-13,silver,2026-05-13,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
769,brian83@example.net,Adriana,Johnson,(959)975-9545x0891,2025-01-07,gold,2025-01-07,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
822,sbishop@example.org,Emily,Morgan,304-833-3353x8495,2025-05-23,bronze,2026-09-10,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
825,willismatthew@example.com,Daniel,Anderson,+1-880-236-5774x491,2026-05-15,bronze,2026-05-15,,True,2026-09-24 01:17:15.357854,2026-09-24 01:17:15.357854
