order_id,customer_id,order_date,order_total,payment_method,shipping_address,order_status,created_at,updated_at
6,580,2024-09-24 11:17:57.372977,89.33,credit_card,"7730 Levine Prairie Suite 077, Lake Donaldchester, ND 12203",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
11,763,2024-09-25 10:17:58.372977,80.44,apple_pay,"002 Lindsey Fork Apt. 870, Valentineshire, PR 50884",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
13,938,2024-09-25 17:48:25.372977,138.9,debit_card,"795 Jacob Summit Suite 225, New Jeremy, RI 17497",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
16,763,2024-09-26 03:20:51.372977,59.08,credit_card,"46281 Morrison Forest Suite 883, North Ellenville, VA 96410",cancelled,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
20,357,2024-09-26 13:26:26.372977,56.08,debit_card,"79434 Mitchell Creek Suite 566, Davisfurt, HI 11977",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
23,580,2024-09-26 21:27:53.372977,40.79,paypal,"421 Kaufman Extensions Suite 421, Brianport, VI 62478",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
35,441,2024-09-28 11:02:43.372977,130.26,apple_pay,"736 Steven Pass, Deborahchester, NJ 24642",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
43,628,2024-09-29 11:02:41.372977,139.58,debit_card,"310 Ortega Pines, South Ericamouth, SC 32615",cancelled,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
64,664,2024-10-01 21:01:22.372977,130.29,paypal,"08317 Kyle Rest, Harrisville, MN 47608",returned,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
66,363,2024-10-02 03:42:17.372977,292.15,apple_pay,"08972 Danielle Track Apt. 827, Harrisonville, DE 66202",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
67,246,2024-10-02 18:58:46.372977,183.54,credit_card,"938 Stephen Forest, Katiemouth, MP 23058",pending,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
70,357,2024-10-02 19:52:07.372977,198.1,debit_card,"34686 Grace Forge, South Alexanderside, MO 59306",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
72,246,2024-10-02 23:48:36.372977,111.29,credit_card,"366 Hanson Gateway, Brianatown, NC 36092",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
73,691,2024-10-03 10:00:54.372977,31.21,debit_card,"30819 Robinson Summit Apt. 494, Duanetown, KS 47114",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
76,739,2024-10-03 14:43:11.372977,78.46,credit_card,"109 Hull Neck Apt. 833, South Wandabury, SC 31827",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
78,739,2024-10-03 17:30:37.372977,40.16,apple_pay,"03375 Ian Ville Suite 484, North Alan, GA 24619",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
83,434,2024-10-04 01:57:04.372977,57.65,credit_card,"PSC 2783, Box 3226, APO AE 65005",cancelled,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
88,363,2024-10-04 22:37:41.372977,307.32,paypal,"73997 Beck Brooks, Ericaview, MP 92349",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
100,831,2024-10-06 06:42:17.372977,267.38,credit_card,"88379 Carolyn Plains, Rebeccashire, IN 99700",processing,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
102,901,2024-10-06 07:00:31.372977,77.33,credit_card,"3963 Riley Meadow Apt. 787, North Cristianmouth, VA 35437",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
104,283,2024-10-06 12:03:11.372977,71.24,credit_card,"2075 Andrew Throughway, Pittsberg, FL 50207",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
118,943,2024-10-08 13:48:33.372977,100.89,debit_card,"82438 Caleb Meadows Apt. 922, East Sophia, PR 29741",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
119,615,2024-10-08 16:10:42.372977,132.39,credit_card,"25661 Dyer Cape, Martinezview, WI 05211",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
122,441,2024-10-09 19:11:51.372977,83.31,debit_card,"8328 Terrance Square, Savannahfort, MA 41400",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
123,488,2024-10-09 19:48:10.372977,277.29,credit_card,"72858 Ashley Shores Apt. 340, Lake Toni, MO 06433",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
139,664,2024-10-11 13:48:25.372977,186.56,credit_card,"1142 Jessica Lodge, Meganbury, IL 44712",pending,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
145,664,2024-10-12 09:16:51.372977,175.66,credit_card,"833 Desiree Greens, Lake Eric, PR 37938",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
166,531,2024-10-14 23:53:54.372977,119.11,debit_card,"1891 Ortiz Cape Suite 310, North Samanthashire, NJ 62087",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
167,72,2024-10-15 05:00:48.372977,127.97,apple_pay,"4921 Daniel Pine, New Amychester, RI 82086",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
174,672,2024-10-15 22:52:57.372977,66.42,credit_card,"80287 Moore Square, Lake Joseph, AK 55091",pending,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
175,825,2024-10-16 07:45:58.372977,38.41,credit_card,"4148 Thornton Skyway, South Brendan, OK 23144",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
182,580,2024-10-16 14:21:27.372977,108.13,google_pay,"9645 Rios Loaf Suite 949, Teresaland, MI 46845",pending,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
185,664,2024-10-17 11:29:12.372977,55.95,google_pay,"002 Macdonald Hill Suite 901, Greenmouth, ID 67493",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
186,441,2024-10-17 11:47:34.372977,47.54,debit_card,"2662 Taylor Trail, Rogerston, CA 89802",pending,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
187,901,2024-10-17 12:29:49.372977,98.71,debit_card,"4326 Le Corner, Mooreburgh, MN 48006",cancelled,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
190,334,2024-10-18 00:44:52.372977,59.67,apple_pay,"544 Garner Knoll, Blackberg, FM 43486",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
193,223,2024-10-18 13:57:10.372977,48.32,credit_card,"786 Steele Street Suite 047, Andersonfurt, VA 36407",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
196,831,2024-10-19 01:41:48.372977,214.86,credit_card,"Unit 7770 Box 8594, DPO AP 22183",pending,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
209,739,2024-10-21 11:05:08.372977,120.9,apple_pay,"873 Odom Streets, Estradahaven, NE 56822",completed,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
219,869,2024-10-22 20:09:50.372977,134.34,credit_card,"60199 Tiffany Point Suite 808, Smithville, NJ 00654",processing,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
225,769,2024-10-23 04:53:45.372977,291.05,debit_card,"384 Collier Road, Port Erinside, PR 53569",cancelled,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
234,363,2024-10-24 06:46:13.372977,330.15,credit_card,"015 Kennedy Port Suite 526, Port Jane, GA 88415",processing,2026-09-24 01:17:15.387702,2026-09-24 01:17:15.387702
